TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,COLUMN_DEFAULT,IS_PRIMARY_KEY
dbo,log1040NR,fcurTaxableBenefitsForm8839,32,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalWagesNoWithholding,33,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurOtherEarnedIncome,34,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurNonTxCombatPayElection,35,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTreatyTaxExemptUSIncome,36,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurWagesSalariesAndTips,37,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTaxExemptInterest,38,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTaxableInterest,39,money,NULL,NO,NULL,NO
dbo,log1040NR,fstrQualifiedF8814,40,nvarchar,10,NO,NULL,NO
dbo,log1040NR,fcurQualifiedF8814,41,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurQualifiedDividends,42,money,NULL,NO,NULL,NO
dbo,log1040NR,fstrOrdinaryF8814,43,nvarchar,10,NO,NULL,NO
dbo,log1040NR,fcurOrdinaryF8814,44,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurOrdinaryDividends,45,money,NULL,NO,NULL,NO
dbo,log1040NR,fblnChildDivIncldQualifiedDiv,46,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fblnChildDivIncldOrdinaryDiv,47,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fcurIRADistributions,48,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTaxableIRA,49,money,NULL,NO,NULL,NO
dbo,log1040NR,fblnIRADistributionRollover,50,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fblnIRADistributionQCD,51,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fblnIRADistributionOther,52,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fstrOtherIRATypeCode,53,nvarchar,3,NO,NULL,NO
dbo,log1040NR,fstrOtherIRATypeText,54,nvarchar,50,NO,NULL,NO
dbo,log1040NR,fcurPensionsAnnuities,55,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTaxablePensionsAnnuities,56,money,NULL,NO,NULL,NO
dbo,log1040NR,fblnPensionsAnnuitiesRollover,57,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fblnPensionsAnnuitiesPSO,58,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fblnPensionsAnnuitiesOther,59,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fstrPensionsAnnuitiesOtherType,60,nvarchar,50,NO,NULL,NO
dbo,log1040NR,fcurCaptialGainLoss,61,money,NULL,NO,NULL,NO
dbo,log1040NR,fblnCapitalDistribution,62,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fstrForm8814Code,63,nvarchar,10,NO,NULL,NO
dbo,log1040NR,fblnChildCapitalGainOrLossIncl,64,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fcurForm8814,65,money,NULL,NO,NULL,NO
